,player_name,season,age,player_height,player_weight,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct
6018,Chucky Atkins,10,35.0,180.34,83.91452,40,4.0,0.7,2.3,-6.0,0.009,0.053,0.141,0.477,0.22
1586,Chucky Brown,0,32.0,203.2,97.52228,63,5.3,2.7,1.0,1.2,0.037,0.124,0.1669999999999999,0.476,0.099
2050,Chucky Brown,1,33.0,203.2,99.79024,26,3.9,2.1,0.4,-6.4,0.027,0.1639999999999999,0.157,0.4639999999999999,0.054
2579,Chucky Brown,2,34.0,203.2,99.79024,18,1.2,1.8,0.3,-9.1,0.098,0.223,0.147,0.377,0.094
107,Chucky Brown,97,29.0,203.2,97.52228,70,2.9,2.1,0.4,-5.9,0.063,0.177,0.123,0.552,0.057
668,Chucky Brown,98,30.0,203.2,97.52228,77,5.0,2.4,0.7,2.8,0.0579999999999999,0.119,0.177,0.472,0.077
1047,Chucky Brown,99,31.0,203.2,97.52228,48,8.5,3.6,1.2,1.3,0.037,0.133,0.175,0.51,0.086
11410,Chuma Okeke,21,22.0,198.12,103.872568,45,7.8,4.0,2.2,-7.2,0.033,0.1169999999999999,0.142,0.511,0.132
11938,Chuma Okeke,22,23.0,198.12,103.872568,70,8.6,5.0,1.7,-8.8,0.024,0.165,0.159,0.501,0.104
12616,Chuma Okeke,23,24.0,203.2,103.872568,27,4.7,3.6,1.4,-10.8,0.049,0.132,0.121,0.488,0.1009999999999999
1585,Clar. Weatherspoon,0,29.0,200.66,120.20188,78,7.2,5.8,1.2,3.3,0.1,0.223,0.177,0.5660000000000001,0.1
2049,Clar. Weatherspoon,1,30.0,200.66,120.20188,82,11.3,9.7,1.3,-5.1,0.092,0.231,0.151,0.563,0.061
2580,Clar. Weatherspoon,2,31.0,200.66,122.46984,56,8.8,8.2,1.1,-5.9,0.0969999999999999,0.214,0.152,0.478,0.0579999999999999
2899,Clar. Weatherspoon,3,32.0,200.66,122.46984,79,6.6,7.6,0.9,-2.8,0.1169999999999999,0.2239999999999999,0.128,0.522,0.053
3094,Clar. Weatherspoon,4,33.0,200.66,122.46984,52,5.0,3.9,0.6,-5.0,0.104,0.175,0.152,0.5379999999999999,0.063
3769,Clar. Weatherspoon,5,34.0,200.66,122.46984,40,3.1,3.1,0.4,8.1,0.0819999999999999,0.187,0.135,0.475,0.051
109,Clar. Weatherspoon,97,26.0,200.66,108.86208,82,12.2,8.3,1.7,-8.3,0.079,0.172,0.155,0.537,0.078
695,Clar. Weatherspoon,98,27.0,200.66,108.86208,79,9.3,7.5,1.1,-4.0,0.096,0.1939999999999999,0.1639999999999999,0.504,0.065
1048,Clar. Weatherspoon,99,28.0,200.66,120.20188,49,8.1,5.0,0.7,2.9,0.094,0.191,0.19,0.607,0.065
8471,Cleanthony Early,15,24.0,203.2,99.79024,39,5.4,2.5,0.9,-13.0,0.038,0.139,0.195,0.447,0.102
8831,Cleanthony Early,16,25.0,203.2,95.25432,17,1.8,1.5,0.4,0.4,0.0279999999999999,0.146,0.148,0.371,0.0579999999999999
8832,Cliff Alexander,16,20.0,203.2,108.86208,8,1.3,0.8,0.0,-15.1,0.087,0.118,0.151,0.5,0.0
1584,Clifford Robinson,0,33.0,208.28,102.0582,80,18.5,4.5,2.8,4.6,0.042,0.096,0.2289999999999999,0.564,0.134
2048,Clifford Robinson,1,34.0,208.28,102.0582,82,16.4,4.1,2.9,2.2,0.043,0.095,0.251,0.501,0.155
2581,Clifford Robinson,2,35.0,208.28,102.0582,80,14.6,4.8,2.5,2.9,0.032,0.127,0.217,0.503,0.125
2898,Clifford Robinson,3,36.0,208.28,102.0582,81,12.2,3.9,3.3,3.2,0.033,0.102,0.205,0.477,0.175
3095,Clifford Robinson,4,37.0,208.28,108.86208,82,11.8,3.9,3.3,-2.0,0.021,0.106,0.1939999999999999,0.473,0.16
3796,Clifford Robinson,5,38.0,208.28,108.86208,71,7.5,2.9,1.5,-8.1,0.033,0.113,0.168,0.471,0.102
4400,Clifford Robinson,6,39.0,208.28,108.86208,80,6.9,3.3,1.1,0.3,0.034,0.134,0.154,0.502,0.085
4455,Clifford Robinson,7,40.0,208.28,111.13004,50,4.1,2.4,1.0,-10.8,0.037,0.1119999999999999,0.132,0.434,0.092
119,Clifford Robinson,97,30.0,208.28,102.0582,81,15.1,4.0,3.2,4.4,0.036,0.088,0.1989999999999999,0.519,0.1369999999999999
694,Clifford Robinson,98,31.0,208.28,102.0582,80,14.2,5.1,2.1,5.2,0.079,0.129,0.23,0.5379999999999999,0.1169999999999999
1049,Clifford Robinson,99,32.0,208.28,102.0582,50,16.4,4.5,2.6,6.2,0.045,0.108,0.218,0.5589999999999999,0.128
110,Clifford Rozier,97,24.0,210.82,104.32616,42,4.5,5.6,0.7,-6.3,0.151,0.223,0.14,0.471,0.067
693,Clifford Rozier,98,25.0,210.82,111.13004,6,1.0,1.0,0.0,-21.5,0.094,0.214,0.145,0.466,0.0
8470,Clint Capela,15,21.0,208.28,108.86208,12,2.7,3.0,0.2,5.6,0.115,0.241,0.213,0.409,0.037
8833,Clint Capela,16,22.0,208.28,108.86208,77,7.0,6.4,0.6,3.1,0.141,0.225,0.159,0.5529999999999999,0.05
9328,Clint Capela,17,23.0,208.28,108.86208,65,12.6,8.1,1.0,7.8,0.127,0.25,0.201,0.638,0.066
9852,Clint Capela,18,24.0,208.28,108.86208,74,13.9,10.8,0.9,9.3,0.119,0.278,0.19,0.65,0.055
10343,Clint Capela,19,25.0,208.28,108.86208,67,16.6,12.7,1.4,5.4,0.13,0.241,0.18,0.6579999999999999,0.07
10816,Clint Capela,20,26.0,208.28,108.86208,39,13.9,13.8,1.2,2.5,0.118,0.265,0.156,0.626,0.0559999999999999
11411,Clint Capela,21,27.0,208.28,108.86208,63,15.2,14.3,0.8,6.6,0.155,0.301,0.193,0.601,0.039
11940,Clint Capela,22,28.0,208.28,116.119552,74,11.1,11.9,1.2,3.3,0.133,0.284,0.149,0.604,0.062
12617,Clint Capela,23,29.0,208.28,116.119552,65,12.0,11.0,0.9,-1.1,0.142,0.268,0.151,0.6559999999999999,0.045
111,Clyde Drexler,97,35.0,200.66,100.697424,62,18.0,6.0,5.7,7.5,0.062,0.122,0.231,0.5479999999999999,0.261
692,Clyde Drexler,98,36.0,200.66,100.697424,70,18.4,4.9,5.5,1.1,0.05,0.113,0.256,0.531,0.268
5067,Coby Karl,8,25.0,195.58,97.52228,17,1.8,0.8,0.5,16.1,0.045,0.143,0.218,0.493,0.184
6017,Coby Karl,10,27.0,195.58,97.52228,7,4.0,2.6,2.1,-9.8,0.035,0.152,0.171,0.4039999999999999,0.1969999999999999
10834,Coby White,20,20.0,193.04,88.45044,65,13.2,3.5,2.7,-4.4,0.015,0.128,0.235,0.506,0.162
11412,Coby White,21,21.0,195.58,88.45044,69,15.1,4.1,4.8,-2.7,0.013,0.1159999999999999,0.2189999999999999,0.54,0.218
11947,Coby White,22,22.0,193.04,88.45044,61,12.7,3.0,2.9,-1.2,0.011,0.099,0.195,0.564,0.147
12618,Coby White,23,23.0,195.58,88.45044,74,9.7,2.9,2.8,4.0,0.009,0.11,0.17,0.5720000000000001,0.159
10875,Cody Martin,20,24.0,195.58,92.98636,48,5.0,3.3,2.0,-3.2,0.039,0.14,0.131,0.505,0.154
11413,Cody Martin,21,25.0,195.58,92.98636,52,4.0,3.1,1.7,1.0,0.059,0.126,0.123,0.5,0.138
11941,Cody Martin,22,26.0,198.12,92.98636,71,7.7,4.0,2.5,0.1,0.043,0.108,0.12,0.579,0.124
12619,Cody Martin,23,27.0,198.12,92.98636,7,5.0,3.4,1.6,-9.7,0.0559999999999999,0.109,0.121,0.4479999999999999,0.111
7835,Cody Zeller,14,21.0,213.36,108.86208,82,6.0,4.3,1.1,-2.2,0.093,0.185,0.182,0.498,0.106
8469,Cody Zeller,15,22.0,213.36,108.86208,62,7.6,5.8,1.6,1.4,0.073,0.2019999999999999,0.155,0.53,0.106
8834,Cody Zeller,16,23.0,213.36,108.86208,73,8.7,6.2,1.0,4.4,0.086,0.201,0.154,0.5920000000000001,0.061
9327,Cody Zeller,17,24.0,213.36,108.86208,62,10.3,6.5,1.6,5.4,0.085,0.176,0.154,0.604,0.087
9851,Cody Zeller,18,25.0,213.36,108.86208,33,7.1,5.4,0.9,2.1,0.0969999999999999,0.184,0.152,0.602,0.075
10344,Cody Zeller,19,26.0,213.36,108.86208,49,10.1,6.8,2.1,1.4,0.084,0.171,0.159,0.611,0.114
10876,Cody Zeller,20,27.0,213.36,108.86208,58,11.1,7.1,1.5,-8.3,0.11,0.1969999999999999,0.201,0.5760000000000001,0.111
11427,Cody Zeller,21,28.0,210.82,108.86208,48,9.4,6.8,1.8,2.0,0.115,0.21,0.177,0.599,0.125
11942,Cody Zeller,22,29.0,210.82,108.86208,27,5.2,4.6,0.8,-2.1,0.128,0.212,0.153,0.627,0.087
12620,Cody Zeller,23,30.0,210.82,108.86208,15,6.5,4.3,0.7,-10.3,0.1169999999999999,0.2,0.175,0.659,0.077
6341,Cole Aldrich,11,22.0,210.82,111.13004,18,1.0,1.9,0.2,3.9,0.1119999999999999,0.168,0.0819999999999999,0.537,0.0409999999999999
6923,Cole Aldrich,12,23.0,210.82,108.86208,26,2.2,1.8,0.1,-6.5,0.089,0.2189999999999999,0.157,0.5920000000000001,0.034
7356,Cole Aldrich,13,24.0,210.82,108.86208,45,2.2,2.7,0.2,1.8,0.086,0.249,0.125,0.563,0.032
7836,Cole Aldrich,14,25.0,210.82,111.13004,46,2.0,2.8,0.3,-1.4,0.128,0.325,0.128,0.62,0.063
8468,Cole Aldrich,15,26.0,210.82,113.398,61,5.5,5.5,1.2,-16.0,0.1119999999999999,0.28,0.182,0.513,0.143
8808,Cole Aldrich,16,27.0,210.82,113.398,60,5.5,4.8,0.8,1.0,0.122,0.284,0.19,0.626,0.107
9326,Cole Aldrich,17,28.0,210.82,113.398,62,1.7,2.5,0.4,-0.2,0.11,0.248,0.094,0.5489999999999999,0.063
9850,Cole Aldrich,18,29.0,210.82,114.758776,21,0.6,0.7,0.1,-1.8,0.057,0.286,0.151,0.34,0.081
11426,Cole Anthony,21,21.0,187.96,83.91452,47,12.9,4.7,4.1,-12.8,0.027,0.142,0.235,0.496,0.241
11943,Cole Anthony,22,22.0,190.5,83.91452,65,16.3,5.4,5.7,-5.4,0.015,0.145,0.245,0.519,0.281
12621,Cole Anthony,23,23.0,190.5,83.91452,60,13.0,4.8,3.9,-0.1,0.03,0.152,0.209,0.57,0.228
12622,Cole Swider,23,24.0,205.74,99.79024,7,1.3,1.0,0.6,3.3,0.024,0.158,0.089,0.5,0.105
10345,Collin Sexton,19,20.0,187.96,86.18248,82,16.7,2.9,3.0,-12.5,0.021,0.072,0.247,0.52,0.154
10877,Collin Sexton,20,21.0,185.42,86.18248,65,20.8,3.1,3.0,-9.2,0.0279999999999999,0.069,0.264,0.56,0.146
11425,Collin Sexton,21,22.0,185.42,86.18248,60,24.3,3.1,4.4,-9.2,0.027,0.063,0.286,0.573,0.222
11944,Collin Sexton,22,23.0,185.42,86.18248,11,16.0,3.3,2.1,-5.8,0.0409999999999999,0.066,0.264,0.523,0.125
12623,Collin Sexton,23,24.0,187.96,86.18248,48,14.3,2.2,2.9,0.1,0.032,0.0559999999999999,0.23,0.616,0.178
691,Corey Beck,98,27.0,190.5,90.7184,59,3.2,1.5,1.7,2.4,0.045,0.104,0.16,0.516,0.21
1050,Corey Beck,99,28.0,190.5,90.7184,24,1.9,1.2,0.8,4.9,0.042,0.142,0.158,0.493,0.183
1583,Corey Benjamin,0,22.0,198.12,92.98636,48,7.7,1.8,1.1,-11.2,0.0279999999999999,0.094,0.245,0.479,0.129
2047,Corey Benjamin,1,23.0,198.12,92.98636,65,4.7,1.5,1.1,-12.5,0.049,0.089,0.217,0.4529999999999999,0.148
2897,Corey Benjamin,3,25.0,198.12,90.7184,9,4.4,3.4,1.1,-2.9,0.068,0.152,0.1639999999999999,0.4,0.122
979,Corey Benjamin,99,21.0,198.12,90.7184,30,3.9,1.3,0.3,-16.4,0.0579999999999999,0.095,0.2269999999999999,0.4379999999999999,0.065
5068,Corey Brewer,8,22.0,205.74,83.91452,79,5.8,3.7,1.4,-9.3,0.049,0.138,0.156,0.429,0.092
5727,Corey Brewer,9,23.0,205.74,85.275296,15,6.2,3.3,1.7,0.8,0.07,0.124,0.163,0.473,0.125
6016,Corey Brewer,10,24.0,205.74,85.275296,82,13.0,3.4,2.4,-10.1,0.031,0.0969999999999999,0.215,0.502,0.122
6342,Corey Brewer,11,25.0,205.74,85.275296,69,8.0,2.5,1.3,-3.8,0.04,0.09,0.185,0.482,0.09
6711,Corey Brewer,12,26.0,205.74,85.275296,59,8.9,2.5,1.5,1.7,0.039,0.094,0.196,0.505,0.103
7357,Corey Brewer,13,27.0,205.74,85.275296,82,12.1,2.9,1.5,5.5,0.031,0.098,0.233,0.506,0.0969999999999999
7837,Corey Brewer,14,28.0,205.74,83.91452,81,12.3,2.6,1.7,4.7,0.026,0.062,0.162,0.55,0.075
8467,Corey Brewer,15,29.0,205.74,84.368112,80,11.5,3.7,2.2,-0.6,0.0409999999999999,0.115,0.209,0.507,0.131
8821,Corey Brewer,16,30.0,205.74,84.368112,82,7.2,2.4,1.3,-2.2,0.027,0.102,0.176,0.481,0.102
9325,Corey Brewer,17,31.0,205.74,84.368112,82,4.5,2.0,1.2,3.0,0.027,0.118,0.145,0.491,0.104
9849,Corey Brewer,18,32.0,205.74,84.368112,72,5.3,2.1,0.9,-2.3,0.033,0.089,0.136,0.534,0.073
10346,Corey Brewer,19,33.0,205.74,84.368112,31,4.9,2.5,1.3,0.0,0.045,0.098,0.13,0.532,0.107
10935,Corey Brewer,20,34.0,205.74,85.275296,5,1.0,1.6,0.4,11.2,0.061,0.2,0.085,0.47,0.063
11945,Corey Kispert,22,23.0,198.12,101.604608,77,8.2,2.7,1.1,0.1,0.03,0.084,0.142,0.586,0.064
12624,Corey Kispert,23,24.0,198.12,101.604608,74,11.1,2.8,1.2,-3.2,0.016,0.0819999999999999,0.139,0.657,0.0559999999999999
1582,Corey Maggette,0,20.0,198.12,98.883056,77,8.4,3.9,0.8,-1.6,0.1009999999999999,0.144,0.2239999999999999,0.5529999999999999,0.071
2046,Corey Maggette,1,21.0,198.12,98.883056,69,10.0,4.2,1.2,-2.4,0.075,0.162,0.242,0.562,0.1119999999999999
2582,Corey Maggette,2,22.0,198.12,103.418976,63,11.4,3.7,1.8,-3.1,0.038,0.123,0.211,0.56,0.114
2896,Corey Maggette,3,23.0,198.12,103.418976,64,16.8,5.0,1.9,-6.7,0.043,0.1369999999999999,0.244,0.564,0.1119999999999999
3119,Corey Maggette,4,24.0,198.12,103.418976,73,20.7,5.9,3.1,-4.3,0.0409999999999999,0.146,0.251,0.586,0.154
3770,Corey Maggette,5,25.0,198.12,102.0582,66,22.2,6.0,3.4,-0.7,0.035,0.154,0.2739999999999999,0.574,0.1669999999999999
4399,Corey Maggette,6,26.0,198.12,102.0582,32,17.8,5.3,2.1,7.3,0.037,0.153,0.275,0.584,0.12
4470,Corey Maggette,7,27.0,198.12,102.0582,75,16.9,5.9,2.8,1.7,0.049,0.184,0.258,0.583,0.16
5069,Corey Maggette,8,28.0,198.12,102.0582,70,22.1,5.6,2.7,-5.0,0.036,0.145,0.273,0.595,0.143
5726,Corey Maggette,9,29.0,198.12,102.0582,51,18.6,5.5,1.8,-3.9,0.035,0.166,0.253,0.5820000000000001,0.095
6015,Corey Maggette,10,30.0,198.12,102.0582,70,19.8,5.3,2.5,-6.5,0.05,0.155,0.266,0.615,0.133
6343,Corey Maggette,11,31.0,198.12,102.0582,67,12.0,3.6,1.3,-3.1,0.037,0.165,0.2769999999999999,0.573,0.111
6710,Corey Maggette,12,32.0,198.12,102.0582,32,15.0,3.9,1.2,-15.7,0.025,0.138,0.267,0.517,0.0819999999999999
7358,Corey Maggette,13,33.0,198.12,102.0582,18,5.3,1.4,1.1,-3.1,0.021,0.09,0.2019999999999999,0.489,0.121
1581,Corie Blount,0,31.0,208.28,109.769264,38,2.8,3.0,0.3,5.8,0.129,0.161,0.129,0.517,0.032
2045,Corie Blount,1,32.0,208.28,109.769264,68,4.6,5.9,0.9,-11.9,0.135,0.193,0.131,0.473,0.074
2583,Corie Blount,2,33.0,208.28,109.769264,72,3.6,5.1,0.6,-3.7,0.114,0.178,0.104,0.478,0.051
2895,Corie Blount,3,34.0,208.28,109.769264,50,3.0,4.1,1.0,0.1,0.095,0.187,0.104,0.502,0.087
3118,Corie Blount,4,35.0,208.28,109.769264,62,4.0,4.4,0.9,-0.3,0.107,0.1889999999999999,0.136,0.462,0.084
112,Corie Blount,97,28.0,208.28,109.769264,58,4.2,4.8,0.6,2.0,0.13,0.182,0.119,0.5589999999999999,0.0559999999999999
690,Corie Blount,98,29.0,208.28,109.769264,70,3.6,4.3,0.5,5.1,0.126,0.201,0.115,0.5720000000000001,0.053
1065,Corie Blount,99,30.0,208.28,109.769264,34,2.9,4.4,0.4,2.7,0.127,0.196,0.126,0.4039999999999999,0.037
1580,Corliss Williamson,0,26.0,200.66,111.13004,76,10.3,3.8,1.1,-1.4,0.073,0.1009999999999999,0.1969999999999999,0.5489999999999999,0.069
2052,Corliss Williamson,1,27.0,200.66,111.13004,69,11.6,4.7,0.9,2.6,0.068,0.133,0.222,0.5329999999999999,0.066
2584,Corliss Williamson,2,28.0,200.66,111.13004,78,13.6,4.1,1.2,5.8,0.084,0.139,0.295,0.5670000000000001,0.113
2894,Corliss Williamson,3,29.0,200.66,111.13004,82,12.0,4.4,1.3,8.1,0.0819999999999999,0.121,0.249,0.515,0.099
3117,Corliss Williamson,4,30.0,200.66,111.13004,79,9.5,3.2,0.7,5.8,0.071,0.124,0.24,0.546,0.072
3795,Corliss Williamson,5,31.0,200.66,111.13004,72,10.3,3.6,1.1,-0.6,0.074,0.115,0.2239999999999999,0.536,0.09
4398,Corliss Williamson,6,32.0,200.66,111.13004,37,3.4,1.8,0.4,5.1,0.07,0.133,0.201,0.506,0.068
4457,Corliss Williamson,7,33.0,200.66,111.13004,68,9.1,3.3,0.6,3.7,0.057,0.1369999999999999,0.226,0.5589999999999999,0.054
113,Corliss Williamson,97,23.0,200.66,111.13004,79,11.6,4.1,1.6,-4.2,0.0819999999999999,0.1119999999999999,0.23,0.535,0.108
689,Corliss Williamson,98,24.0,200.66,111.13004,79,17.7,5.6,2.9,-4.6,0.063,0.114,0.243,0.527,0.147
977,Corliss Williamson,99,25.0,200.66,111.13004,50,13.2,4.1,1.3,-1.5,0.064,0.089,0.217,0.517,0.076
3794,Corsley Edwards,5,26.0,205.74,124.7378,10,2.7,2.5,0.3,-14.6,0.1119999999999999,0.149,0.166,0.372,0.057
1579,Cory Alexander,0,27.0,185.42,86.18248,29,2.8,1.4,2.0,-3.9,0.026,0.111,0.183,0.381,0.305
2044,Cory Alexander,1,28.0,185.42,86.18248,26,2.0,1.0,1.4,-6.6,0.0,0.1369999999999999,0.178,0.407,0.273
3793,Cory Alexander,5,32.0,185.42,86.18248,16,3.1,1.8,2.3,-11.9,0.04,0.123,0.161,0.451,0.319
114,Cory Alexander,97,24.0,185.42,86.18248,80,7.2,1.5,3.2,-8.8,0.023,0.081,0.218,0.528,0.3
688,Cory Alexander,98,25.0,185.42,86.18248,60,8.1,2.4,3.5,-6.3,0.016,0.1169999999999999,0.2,0.5479999999999999,0.286
949,Cory Alexander,99,26.0,185.42,86.18248,36,7.3,2.1,3.3,-1.1,0.01,0.102,0.2,0.467,0.275
903,Cory Carr,99,23.0,193.04,95.25432,42,4.1,1.2,1.6,-14.0,0.015,0.0819999999999999,0.21,0.372,0.206
6709,Cory Higgins,12,23.0,195.58,81.64656,38,3.9,0.9,0.9,-15.1,0.02,0.081,0.251,0.402,0.159
7359,Cory Higgins,13,24.0,195.58,81.64656,6,2.3,0.5,0.8,-7.9,0.036,0.061,0.297,0.352,0.278
8466,Cory Jefferson,15,24.0,205.74,98.883056,50,3.7,2.9,0.3,6.8,0.1009999999999999,0.2,0.174,0.48,0.047
8807,Cory Jefferson,16,25.0,205.74,98.883056,8,2.8,2.0,0.0,-10.2,0.122,0.196,0.209,0.446,0.0
6708,Cory Joseph,12,20.0,190.5,83.91452,29,2.0,0.9,1.2,-9.2,0.02,0.094,0.153,0.374,0.1889999999999999
7360,Cory Joseph,13,21.0,190.5,83.91452,28,4.5,1.9,1.9,-1.5,0.034,0.111,0.161,0.528,0.1989999999999999
7838,Cory Joseph,14,22.0,190.5,86.18248,68,5.0,1.6,1.7,1.7,0.042,0.088,0.173,0.5579999999999999,0.18
8465,Cory Joseph,15,23.0,190.5,86.18248,79,6.8,2.4,2.4,6.4,0.035,0.113,0.171,0.564,0.205
8791,Cory Joseph,16,24.0,190.5,86.18248,80,8.5,2.6,3.1,6.9,0.021,0.092,0.17,0.512,0.1989999999999999
9324,Cory Joseph,17,25.0,190.5,86.18248,80,9.3,2.9,3.3,2.0,0.0289999999999999,0.104,0.183,0.518,0.2
9848,Cory Joseph,18,26.0,190.5,86.18248,82,7.9,3.2,3.2,-1.1,0.017,0.1009999999999999,0.143,0.503,0.1639999999999999
10347,Cory Joseph,19,27.0,190.5,87.543256,82,6.5,3.4,3.9,5.2,0.019,0.111,0.134,0.474,0.208
10934,Cory Joseph,20,28.0,190.5,90.7184,72,6.4,2.6,3.5,-0.3,0.024,0.0819999999999999,0.127,0.517,0.1989999999999999
11424,Cory Joseph,21,29.0,190.5,90.7184,63,8.2,2.5,3.4,-5.5,0.024,0.085,0.159,0.556,0.204
11946,Cory Joseph,22,30.0,190.5,90.7184,65,8.0,2.7,3.6,-6.4,0.017,0.092,0.141,0.579,0.22
12625,Cory Joseph,23,31.0,190.5,90.7184,62,6.9,1.7,3.5,-4.1,0.016,0.07,0.149,0.5579999999999999,0.256
8779,Coty Clarke,16,23.0,200.66,102.0582,3,2.0,0.3,0.0,24.4,0.0,0.3329999999999999,0.363,0.75,0.0
2042,Courtney Alexander,1,24.0,195.58,92.98636,65,9.5,2.2,1.0,-10.1,0.036,0.085,0.2319999999999999,0.484,0.083
2585,Courtney Alexander,2,25.0,198.12,92.98636,56,9.8,2.6,1.5,-6.4,0.037,0.094,0.204,0.521,0.114
2893,Courtney Alexander,3,26.0,195.58,92.98636,66,7.9,1.8,1.2,-0.3,0.033,0.068,0.214,0.4589999999999999,0.105
6707,Courtney Fortson,12,24.0,180.34,83.91452,10,3.5,1.5,1.0,-22.6,0.061,0.107,0.217,0.4529999999999999,0.222
5725,Courtney Lee,9,23.0,195.58,90.7184,77,8.4,2.3,1.2,8.2,0.011,0.09,0.156,0.556,0.074
6028,Courtney Lee,10,24.0,195.58,90.7184,71,12.5,3.5,1.7,-9.4,0.0279999999999999,0.099,0.178,0.525,0.086
6344,Courtney Lee,11,25.0,195.58,90.7184,81,8.3,2.6,1.2,0.1,0.034,0.104,0.179,0.534,0.092
6706,Courtney Lee,12,26.0,195.58,90.7184,58,11.4,2.7,1.5,1.4,0.017,0.091,0.177,0.534,0.079
7361,Courtney Lee,13,27.0,195.58,90.7184,78,7.8,2.4,1.8,-0.6,0.02,0.0969999999999999,0.158,0.545,0.1159999999999999
7839,Courtney Lee,14,28.0,195.58,90.7184,79,9.6,2.4,1.5,0.7,0.018,0.093,0.173,0.574,0.093
8464,Courtney Lee,15,29.0,195.58,90.7184,77,10.1,2.3,2.0,2.1,0.01,0.077,0.152,0.555,0.096
8780,Courtney Lee,16,30.0,195.58,90.7184,79,9.6,2.6,1.7,2.9,0.0139999999999999,0.087,0.15,0.551,0.088
9323,Courtney Lee,17,31.0,195.58,90.7184,77,10.8,3.4,2.3,-4.9,0.023,0.092,0.145,0.5589999999999999,0.104
9847,Courtney Lee,18,32.0,195.58,90.7184,76,12.0,2.9,2.4,-5.5,0.013,0.0819999999999999,0.165,0.564,0.113
10349,Courtney Lee,19,33.0,195.58,97.52228,34,4.0,1.6,1.1,-6.4,0.019,0.105,0.15,0.492,0.13
10933,Courtney Lee,20,34.0,195.58,97.52228,24,4.5,1.3,0.5,6.7,0.019,0.07,0.1159999999999999,0.629,0.044
5071,Courtney Sims,8,24.0,210.82,111.13004,3,0.0,0.7,0.3,-6.2,0.083,0.091,0.034,0.0,0.143
5724,Courtney Sims,9,25.0,210.82,111.13004,2,3.0,2.0,0.0,6.0,0.154,0.2,0.231,0.5,0.0
6345,Craig Brackins,11,23.0,208.28,104.32616,3,2.7,1.3,0.3,-29.2,0.057,0.095,0.22,0.25,0.05
6705,Craig Brackins,12,24.0,208.28,104.32616,14,1.6,1.1,0.6,-32.3,0.054,0.128,0.193,0.325,0.174
115,Craig Ehlo,97,35.0,198.12,81.64656,62,3.5,1.8,1.1,5.7,0.0559999999999999,0.107,0.166,0.412,0.13
4483,Craig Smith,7,23.0,200.66,123.377024,82,7.4,5.1,0.6,-4.8,0.119,0.211,0.187,0.5579999999999999,0.0559999999999999
5083,Craig Smith,8,24.0,203.2,113.398,77,9.4,4.6,0.8,-8.7,0.095,0.18,0.206,0.59,0.066
5723,Craig Smith,9,25.0,200.66,113.398,74,10.1,3.8,1.1,-6.6,0.079,0.153,0.231,0.599,0.0969999999999999
6044,Craig Smith,10,26.0,200.66,113.398,75,7.8,3.8,1.1,-3.8,0.093,0.186,0.216,0.599,0.124
6346,Craig Smith,11,27.0,200.66,120.20188,48,5.4,2.4,0.6,-5.7,0.085,0.154,0.1939999999999999,0.5920000000000001,0.095
6704,Craig Smith,12,28.0,200.66,120.20188,47,3.3,2.3,0.4,-9.7,0.081,0.1969999999999999,0.158,0.556,0.067
11932,Craig Sword,22,28.0,190.5,88.904032,3,2.0,0.0,0.3,8.3,0.0,0.0,0.125,0.75,0.1
8781,Cristiano Felicio,16,23.0,208.28,124.7378,31,3.4,3.3,0.8,5.6,0.109,0.252,0.136,0.601,0.115
9322,Cristiano Felicio,17,24.0,205.74,120.655472,66,4.8,4.7,0.6,-0.1,0.131,0.1989999999999999,0.126,0.603,0.061
9846,Cristiano Felicio,18,25.0,205.74,127.00576,55,5.6,4.2,1.0,-16.4,0.076,0.158,0.133,0.614,0.093
10364,Cristiano Felicio,19,26.0,208.28,120.20188,60,4.0,3.6,0.6,-8.0,0.1009999999999999,0.187,0.138,0.568,0.07
10932,Cristiano Felicio,20,27.0,208.28,122.46984,22,3.9,4.6,0.7,-7.7,0.144,0.139,0.088,0.6709999999999999,0.053
11423,Cristiano Felicio,21,28.0,210.82,122.46984,18,1.3,1.4,0.5,7.1,0.1119999999999999,0.205,0.1169999999999999,0.574,0.155
116,Cuonzo Martin,97,25.0,195.58,96.615096,3,0.0,0.3,0.3,-12.1,0.048,0.0,0.214,0.0,0.1
3116,Curtis Borchardt,4,23.0,213.36,108.86208,16,3.6,3.4,0.9,-6.2,0.066,0.203,0.149,0.4539999999999999,0.0969999999999999
3792,Curtis Borchardt,5,24.0,213.36,109.769264,67,3.0,3.3,0.7,-9.2,0.1169999999999999,0.218,0.1369999999999999,0.492,0.096
1628,Cuttino Mobley,0,24.0,193.04,86.18248,81,15.8,3.6,2.6,-1.6,0.0279999999999999,0.099,0.24,0.545,0.148
2041,Cuttino Mobley,1,25.0,193.04,86.18248,79,19.5,5.0,2.5,3.8,0.033,0.118,0.244,0.541,0.114
2586,Cuttino Mobley,2,26.0,193.04,95.25432,74,21.7,4.1,2.5,-3.9,0.023,0.088,0.251,0.537,0.1119999999999999
2892,Cuttino Mobley,3,27.0,193.04,95.25432,73,17.5,4.2,2.8,1.6,0.027,0.087,0.205,0.537,0.121
3115,Cuttino Mobley,4,28.0,193.04,97.52228,80,15.8,4.5,3.2,1.8,0.015,0.1119999999999999,0.2,0.535,0.144
