Player,Season,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,VORP
Bonzi Wells,2001,63,46,1995,10.4,19.6,0.5,1.3,10.0,18.2,4.3,6.5,3.2,6.7,9.9,5.6,2.5,0.5,4.6,5.5,25.6,0.7744018
Bonzi Wells,2002,71,69,2348,11.1,23.8,1.5,3.9,9.6,19.8,4.9,6.6,2.8,7.4,10.2,4.7,2.6,0.6,4.4,4.8,28.7,0.7744018
Bonzi Wells,2003,74,65,2396,9.8,22.2,0.9,2.9,8.9,19.3,5.1,7.0,2.2,6.6,8.8,5.5,2.8,0.4,4.8,4.9,25.5,0.7744018
Bonzi Wells,2004,78,27,1872,10.3,24.2,0.6,2.0,9.7,22.2,3.9,5.2,2.2,5.2,7.4,3.9,2.6,0.5,4.6,5.6,25.2,0.7744018
Bonzi Wells,2005,77,19,1489,9.9,22.5,1.3,3.8,8.6,18.7,5.1,6.9,1.8,6.6,8.3,2.9,3.1,1.0,3.3,6.0,26.3,0.7744018
Bonzi Wells,2006,75,41,1684,8.8,19.0,0.3,1.4,8.5,17.6,4.0,5.9,4.4,8.0,12.4,4.5,2.9,0.8,3.9,4.8,21.9,0.7744018
Bonzi Wells,2008,82,7,1562,8.6,19.4,0.4,1.7,8.2,17.7,5.0,7.7,2.9,8.4,11.3,3.3,2.6,1.1,3.5,5.3,22.5,0.7744018
Boris Diaw,2004,27,37,1919,3.9,8.6,0.2,0.7,3.7,7.9,1.5,2.6,3.1,6.4,9.4,5.0,1.6,1.0,3.5,5.3,9.4,0.7744018
Boris Diaw,2005,58,25,1201,5.4,12.9,0.4,2.2,5.0,10.7,2.5,3.4,2.4,5.1,7.4,6.5,1.6,0.8,3.8,5.4,13.7,0.7744018
Boris Diaw,2006,60,70,2874,7.8,14.9,0.1,0.5,7.7,14.3,3.0,4.1,2.8,7.0,9.7,8.8,1.0,1.5,3.3,4.5,18.8,0.7744018
Boris Diaw,2007,71,59,2268,6.8,12.6,0.3,1.0,6.4,11.6,1.8,2.7,2.0,5.0,7.0,7.8,0.6,0.8,3.4,3.9,15.7,0.7744018
Boris Diaw,2008,70,19,2308,6.6,13.9,0.3,0.9,6.3,13.0,2.1,2.8,2.1,6.0,8.1,6.8,1.3,0.8,3.3,3.6,15.6,0.7744018
Boris Diaw,2009,78,59,2754,8.7,17.2,1.5,3.5,7.2,13.6,2.0,2.9,2.3,6.1,8.4,6.5,1.2,1.0,4.2,3.9,20.8,0.7744018
Boris Diaw,2010,81,82,2906,6.8,14.1,1.2,3.8,5.6,10.4,2.1,2.7,2.4,5.4,7.8,5.9,1.1,1.0,3.3,4.0,16.9,0.7744018
Boris Diaw,2011,82,82,2778,7.3,14.9,1.5,4.4,5.8,10.6,1.6,2.4,2.0,6.0,8.0,6.5,1.4,0.9,3.2,3.7,17.8,0.7744018
Boris Diaw,2012,82,35,1424,5.7,12.9,1.1,3.6,4.6,9.3,0.8,1.3,2.6,7.7,10.3,7.5,1.3,0.9,4.1,4.6,13.4,0.7744018
Boris Diaw,2013,69,20,1709,5.3,9.9,0.9,2.3,4.4,7.6,1.4,1.9,2.0,5.6,7.6,5.4,1.6,0.8,2.5,4.3,13.0,0.7744018
Boris Diaw,2014,78,24,1974,7.7,14.8,1.2,2.9,6.6,12.0,1.7,2.4,1.9,6.5,8.3,5.7,1.1,0.8,3.1,3.6,18.4,0.7744018
Boris Diaw,2015,77,15,1984,7.5,16.3,1.4,4.4,6.1,11.9,1.9,2.4,2.0,7.0,9.0,6.0,0.9,0.6,3.3,3.8,18.3,0.7744018
Boris Diaw,2016,74,4,1386,7.5,14.1,0.9,2.5,6.5,11.6,2.1,2.8,2.1,6.5,8.6,6.5,1.0,0.8,3.6,3.8,17.9,0.7744018
Boris Diaw,2017,68,33,1283,6.0,13.4,0.8,3.3,5.1,10.1,1.1,1.4,1.9,4.6,6.5,6.9,0.7,0.4,3.6,3.4,13.8,0.7744018
Bostjan Nachbar,2004,54,3,516,5.0,14.0,2.4,6.7,2.5,7.3,2.2,3.1,0.8,6.6,7.4,3.2,1.5,1.5,2.4,7.6,14.6,0.7744018
Bostjan Nachbar,2005,53,6,1341,6.6,16.8,3.1,8.0,3.5,8.8,4.0,4.8,1.0,6.4,7.4,3.0,1.2,0.7,3.0,7.5,20.2,0.7744018
Bostjan Nachbar,2006,69,13,502,5.8,16.7,2.0,7.6,3.8,9.1,3.2,4.7,0.9,5.6,6.4,2.9,1.7,0.5,2.6,7.0,16.8,0.7744018
Bostjan Nachbar,2007,55,1,1532,7.8,17.0,3.8,9.1,3.9,7.9,4.5,5.6,0.9,7.8,8.7,2.1,1.0,0.9,2.4,6.3,23.9,0.7744018
Bostjan Nachbar,2008,79,1,1660,7.7,19.3,3.0,8.3,4.8,11.0,4.9,6.2,1.8,6.4,8.2,2.8,1.4,0.7,2.7,5.8,23.3,0.7744018
Brad Miller,1999,40,0,469,8.9,15.7,0.1,0.2,8.8,15.5,9.2,11.6,4.0,9.4,13.3,2.5,1.0,2.1,3.7,7.4,27.2,0.7744018
Brad Miller,2000,46,4,961,7.2,15.6,0.0,0.1,7.2,15.5,8.1,10.4,6.0,9.6,15.6,2.4,1.2,1.9,2.6,5.9,22.5,0.7744018
Brad Miller,2001,58,45,1434,6.3,14.5,0.0,0.2,6.3,14.3,6.3,8.5,5.4,10.3,15.7,4.0,1.2,1.4,2.7,6.6,18.9,0.7744018
Brad Miller,2002,62,75,2263,8.5,17.1,0.1,0.2,8.5,16.9,6.9,8.9,5.9,8.6,14.5,3.5,1.8,1.0,2.7,5.7,24.0,0.7744018
Brad Miller,2003,75,72,2270,7.6,15.4,0.1,0.4,7.5,15.0,6.7,8.2,4.3,9.7,13.9,4.5,1.5,1.0,2.7,4.7,22.1,0.7744018
Brad Miller,2004,77,53,2621,7.4,14.4,0.2,0.8,7.1,13.7,5.1,6.5,3.8,10.9,14.7,6.2,1.3,1.7,2.8,4.9,20.0,0.7744018
Brad Miller,2005,77,56,2089,7.9,15.0,0.1,0.5,7.8,14.6,5.8,7.1,3.4,9.4,12.9,5.4,1.7,1.7,2.0,4.5,21.6,0.7744018
Brad Miller,2006,69,79,2923,7.8,15.7,0.6,1.6,7.1,14.1,5.0,6.0,2.2,8.8,11.0,6.7,1.1,1.1,3.2,4.2,21.1,0.7744018
Brad Miller,2007,80,56,1783,6.4,14.0,0.1,0.9,6.2,13.1,3.3,4.2,2.2,9.1,11.4,6.4,1.1,1.1,3.1,4.4,16.1,0.7744018
Brad Miller,2008,72,72,2513,6.8,14.7,0.6,1.8,6.2,12.9,5.3,6.2,3.4,10.4,13.7,5.3,1.4,1.5,3.3,5.0,19.4,0.7744018
Brad Miller,2009,73,43,2100,7.1,15.0,0.6,1.4,6.6,13.6,5.5,6.6,3.7,9.6,13.3,5.7,1.3,0.9,3.2,5.4,20.2,0.7744018
Brad Miller,2010,69,37,1950,6.6,15.4,1.0,3.5,5.6,11.9,4.8,5.8,2.2,8.4,10.6,4.1,1.2,0.8,2.8,5.0,19.0,0.7744018
Brad Miller,2011,71,5,1015,6.6,14.9,2.0,5.4,4.6,9.5,3.9,4.7,2.2,8.9,11.1,7.3,1.4,1.1,2.7,4.9,19.2,0.7744018
Bradley Beal,2013,6,46,1745,8.4,20.5,2.7,7.0,5.7,13.5,3.7,4.7,1.3,5.0,6.3,4.1,1.5,0.9,2.7,3.4,23.3,0.7744018
Bradley Beal,2014,35,73,2530,9.8,23.4,2.8,7.0,7.0,16.4,3.0,3.8,1.1,4.5,5.6,4.9,1.4,0.4,2.6,3.1,25.4,0.7744018
Bradley Beal,2015,49,59,2107,8.8,20.7,2.6,6.3,6.2,14.4,3.2,4.0,1.4,4.5,5.9,4.7,1.8,0.4,3.0,3.3,23.4,0.7744018
Bradley Beal,2016,52,35,1708,10.2,22.8,3.0,7.7,7.2,15.1,3.9,5.0,1.2,4.2,5.4,4.6,1.5,0.3,3.2,3.3,27.3,0.7744018
Bradley Beal,2017,54,77,2684,11.7,24.3,4.1,10.1,7.6,14.1,5.2,6.3,1.0,3.4,4.4,4.9,1.5,0.4,2.9,3.1,32.7,0.7744018
Bradley Beal,2018,69,82,2977,11.4,24.8,3.3,8.8,8.1,15.9,4.9,6.2,1.0,5.0,6.1,6.2,1.6,0.6,3.6,2.7,31.0,0.7744018
Bradley Beal,2019,75,82,3028,11.9,25.2,3.3,9.3,8.7,15.8,5.7,7.0,1.4,5.0,6.4,7.0,1.9,0.9,3.5,3.5,32.8,0.7744018
Bradley Beal,2020,78,57,2053,13.5,29.7,3.9,11.0,9.6,18.7,8.8,10.4,1.2,4.3,5.5,7.9,1.6,0.5,4.4,2.9,39.6,0.7744018
Bradley Beal,2021,69,60,2147,14.4,29.7,2.8,8.0,11.6,21.7,8.8,9.9,1.5,4.5,6.1,5.7,1.5,0.5,4.0,3.0,40.3,0.7744018
Bradley Beal,2022,71,40,1439,12.0,26.5,2.2,7.2,9.8,19.3,5.8,7.0,1.3,5.2,6.5,9.1,1.2,0.5,4.6,3.3,31.9,0.7744018
Bradley Beal,2023,61,50,1673,12.9,25.6,2.3,6.4,10.6,19.2,5.6,6.6,1.2,4.5,5.7,7.9,1.3,1.0,4.2,3.1,33.8,0.7744018
Bradley Beal,2024,66,53,1767,10.4,20.3,2.8,6.5,7.6,13.8,3.0,3.7,1.5,4.9,6.4,7.3,1.4,0.7,3.6,3.5,26.6,0.7744018
Brandan Wright,2008,14,6,376,8.0,14.5,0.0,0.0,8.0,14.5,3.5,5.2,4.9,7.9,12.8,1.2,0.8,2.8,1.7,4.6,19.5,0.7744018
Brandan Wright,2009,32,23,688,9.2,17.5,0.0,0.3,9.2,17.2,4.5,6.0,4.4,6.8,11.2,1.5,1.6,2.6,1.6,5.3,23.0,0.7744018
Brandan Wright,2011,54,2,379,8.2,16.0,0.0,0.0,8.2,16.0,2.9,4.2,4.2,7.9,12.2,1.6,1.5,2.3,1.9,4.7,19.3,0.7744018
Brandan Wright,2012,49,0,791,9.6,15.5,0.0,0.1,9.6,15.4,3.5,5.4,4.1,7.4,11.5,0.9,1.5,4.2,1.4,4.0,22.6,0.7744018
Brandan Wright,2013,58,16,1149,10.7,17.9,0.0,0.1,10.7,17.8,2.6,4.3,3.8,7.8,11.5,1.7,1.2,3.4,1.5,3.5,24.0,0.7744018
Brandan Wright,2014,69,0,1077,10.7,15.8,0.0,0.0,10.7,15.8,3.7,5.1,4.9,6.8,11.6,1.5,1.5,2.6,1.7,4.5,25.0,0.7744018
Brandan Wright,2015,70,7,1449,8.1,12.5,0.0,0.1,8.1,12.4,2.7,3.9,4.4,6.7,11.1,1.4,1.7,3.2,1.2,3.5,18.8,0.7744018
Brandon Bass,2008,41,1,1557,8.4,16.9,0.0,0.1,8.4,16.7,5.5,6.7,4.1,7.8,11.9,2.0,0.8,1.6,2.8,5.1,22.4,0.7744018
Brandon Bass,2009,66,0,1574,8.4,16.9,0.0,0.2,8.4,16.7,6.1,7.0,4.3,7.9,12.2,1.4,0.9,1.8,2.9,4.7,22.9,0.7744018
Brandon Bass,2010,71,3,648,9.6,18.8,0.0,0.0,9.6,18.8,4.2,5.1,4.3,5.9,10.2,1.5,1.0,2.2,2.5,5.6,23.3,0.7744018
Brandon Bass,2011,59,51,1980,8.8,17.1,0.0,0.1,8.8,17.1,5.0,6.2,3.6,7.7,11.3,1.5,0.7,1.4,2.6,4.2,22.7,0.7744018
Brandon Bass,2012,75,39,1868,8.6,18.0,0.0,0.0,8.6,18.0,3.8,4.6,2.7,7.7,10.4,1.6,1.0,1.5,1.8,3.8,21.0,0.7744018
Brandon Bass,2013,70,69,2239,6.7,13.8,0.0,0.0,6.7,13.7,3.0,3.5,3.0,6.9,9.9,2.0,1.0,1.5,1.9,4.4,16.4,0.7744018
Brandon Bass,2014,81,73,2266,8.0,16.5,0.0,0.1,7.9,16.3,4.7,5.4,3.7,7.0,10.7,2.0,0.8,1.6,2.3,4.3,20.7,0.7744018
Brandon Bass,2015,82,43,1929,8.9,17.7,0.2,0.8,8.7,16.9,4.4,5.6,3.6,6.7,10.3,2.7,1.1,0.8,2.2,3.6,22.5,0.7744018
Brandon Bass,2016,82,0,1342,6.5,11.9,0.0,0.1,6.5,11.8,4.7,5.5,3.9,6.8,10.7,2.8,1.2,2.1,1.6,4.7,17.7,0.7744018
Brandon Bass,2017,74,0,577,9.3,16.1,0.1,0.3,9.2,15.8,6.7,7.6,3.7,7.4,11.2,1.8,1.2,1.0,2.5,3.9,25.3,0.7744018
Brandon Clarke,2020,54,4,1300,10.6,17.2,0.8,2.3,9.8,14.9,3.1,4.0,3.3,9.1,12.4,2.9,1.1,1.7,2.0,3.6,25.1,0.7744018
Brandon Clarke,2021,59,16,1415,8.7,16.7,0.7,2.6,8.0,14.1,2.6,3.8,3.3,7.8,11.1,3.2,2.0,1.7,1.1,2.8,20.6,0.7744018
Brandon Clarke,2022,63,1,1246,11.1,17.2,0.2,0.8,10.9,16.3,3.3,5.0,5.2,7.9,13.1,3.3,1.5,2.6,1.3,4.7,25.6,0.7744018
Brandon Clarke,2023,69,8,1090,10.0,15.2,0.0,0.3,9.9,14.9,4.3,6.0,4.0,9.5,13.5,3.1,1.5,1.6,2.4,5.7,24.3,0.7744018
Brandon Ingram,2017,7,40,2279,5.9,14.7,1.2,4.0,4.7,10.7,2.8,4.6,1.3,5.5,6.8,3.5,1.1,0.8,2.5,3.4,15.8,0.7744018
Brandon Ingram,2018,46,59,1975,8.7,18.4,1.0,2.5,7.7,15.9,4.7,6.8,1.4,6.2,7.6,5.6,1.1,1.0,3.6,3.9,23.0,0.7744018
Brandon Ingram,2019,43,52,1760,9.6,19.3,0.8,2.5,8.8,16.8,5.2,7.6,1.1,6.0,7.1,4.1,0.7,0.8,3.4,3.9,25.1,0.7744018
Brandon Ingram,2020,46,62,2104,11.2,24.1,3.3,8.4,7.9,15.7,6.9,8.1,1.1,7.2,8.4,5.7,1.3,0.8,4.2,3.9,32.5,0.7744018
Brandon Ingram,2021,58,61,2093,11.8,25.2,3.3,8.6,8.5,16.6,6.4,7.3,0.8,6.1,6.9,6.8,1.0,0.8,3.5,2.8,33.2,0.7744018
Brandon Ingram,2022,61,55,1869,12.0,26.0,2.0,6.0,10.0,20.0,7.0,8.5,0.9,7.5,8.5,8.1,0.9,0.7,4.0,3.1,32.9,0.7744018
Brandon Ingram,2023,61,45,1538,12.7,26.3,2.0,5.2,10.7,21.1,7.6,8.6,0.7,7.0,7.8,8.3,1.0,0.6,4.7,3.7,35.0,0.7744018
Brandon Ingram,2024,60,64,2103,11.7,23.7,2.0,5.6,9.7,18.1,5.7,7.2,1.0,6.6,7.6,8.5,1.2,0.9,3.8,3.4,31.1,0.7744018
Brandon Jennings,2010,14,82,2671,8.8,23.8,2.8,7.6,6.0,16.2,4.4,5.4,1.0,4.6,5.5,9.2,2.1,0.4,3.9,3.7,24.9,0.7744018
Brandon Jennings,2011,54,61,2169,8.9,22.8,2.4,7.5,6.5,15.4,4.9,6.1,1.0,4.7,5.8,7.5,2.3,0.5,3.6,3.2,25.1,0.7744018
Brandon Jennings,2012,51,66,2331,10.3,24.6,2.8,8.5,7.5,16.1,4.2,5.2,1.1,3.9,5.0,8.0,2.3,0.5,3.2,2.5,27.7,0.7744018
Brandon Jennings,2013,60,80,2897,8.7,21.8,3.0,8.1,5.7,13.8,4.0,4.9,1.0,3.3,4.3,9.1,2.2,0.2,3.6,2.7,24.4,0.7744018
Brandon Jennings,2014,70,79,2728,7.8,21.0,2.9,8.5,5.0,12.6,4.5,5.9,1.1,3.4,4.5,11.3,1.9,0.1,4.0,2.9,23.0,0.7744018
Brandon Jennings,2015,74,41,1173,9.6,23.9,3.4,9.3,6.3,14.6,5.3,6.3,0.9,3.7,4.6,12.0,1.9,0.2,4.0,2.8,27.9,0.7744018
Brandon Jennings,2016,58,7,868,6.5,17.6,3.0,9.0,3.5,8.6,3.3,4.5,0.9,4.6,5.6,9.8,1.7,0.4,3.3,3.3,19.2,0.7744018
Brandon Jennings,2017,65,13,1802,5.3,14.8,2.2,7.0,3.1,7.8,3.2,4.2,0.8,4.6,5.4,10.9,1.9,0.1,3.5,3.2,16.0,0.7744018
Brandon Knight,2012,15,60,2129,8.1,19.4,2.7,7.0,5.4,12.5,2.6,3.5,0.8,4.5,5.3,6.3,1.2,0.3,4.3,3.9,21.4,0.7744018
Brandon Knight,2013,46,75,2365,8.0,19.6,2.7,7.3,5.3,12.3,3.7,5.0,1.2,4.3,5.5,6.8,1.3,0.2,4.6,3.5,22.3,0.7744018
Brandon Knight,2014,58,69,2400,10.0,23.8,2.4,7.4,7.6,16.4,5.6,7.0,1.0,4.6,5.6,7.7,1.5,0.4,4.1,3.2,28.1,0.7744018
Brandon Knight,2015,63,61,2035,9.4,22.2,3.1,8.0,6.2,14.2,4.9,5.6,0.7,5.4,6.1,8.2,2.2,0.2,4.7,2.8,26.7,0.7744018
Brandon Knight,2016,62,50,1870,9.7,23.3,3.1,9.1,6.5,14.2,4.1,4.8,0.9,4.3,5.3,6.9,1.6,0.5,4.6,3.2,26.5,0.7744018
Brandon Knight,2017,60,5,1140,8.8,22.0,1.9,5.8,6.9,16.2,5.5,6.5,1.0,3.9,5.0,5.5,1.1,0.2,3.7,3.7,25.0,0.7744018
Brandon Knight,2019,82,26,736,6.7,17.5,2.8,8.7,3.9,8.8,1.8,2.3,0.7,3.3,4.0,4.8,1.4,0.1,2.0,4.2,17.9,0.7744018
Brandon Roy,2007,40,55,2015,9.4,20.6,1.5,3.9,7.9,16.7,5.4,6.5,1.6,5.2,6.7,6.2,1.8,0.3,3.1,3.7,25.8,0.7744018
Brandon Roy,2008,55,74,2792,10.4,22.9,1.4,4.2,9.0,18.7,5.5,7.3,1.6,5.2,6.8,8.4,1.5,0.3,2.7,2.9,27.7,0.7744018
Brandon Roy,2009,67,78,2903,12.1,25.2,1.6,4.2,10.5,21.0,7.9,9.6,2.0,5.1,7.1,7.6,1.7,0.4,2.9,2.4,33.7,0.7744018
Brandon Roy,2010,73,65,2419,11.1,23.5,1.7,5.0,9.5,18.5,7.8,10.0,1.7,4.8,6.4,6.9,1.4,0.4,2.9,3.1,31.6,0.7744018
Brandon Roy,2011,70,23,1310,8.7,21.8,1.6,4.8,7.1,17.0,4.9,5.8,1.2,3.9,5.0,5.4,1.5,0.5,2.3,3.2,23.9,0.7744018
Brandon Rush,2009,54,19,1803,6.7,15.9,2.2,5.8,4.6,10.1,1.3,1.8,0.9,5.5,6.4,1.8,1.0,1.0,2.1,3.5,16.8,0.7744018
Brandon Rush,2010,68,64,2491,5.9,13.9,2.5,6.0,3.4,7.9,1.1,1.8,0.8,6.1,6.9,2.2,1.1,1.3,1.8,3.2,15.4,0.7744018
Brandon Rush,2011,75,21,1754,6.3,14.9,2.7,6.4,3.6,8.4,2.3,3.1,1.0,5.3,6.3,1.8,1.2,1.0,2.0,3.1,17.5,0.7744018
Brandon Rush,2012,71,1,1717,7.1,14.2,3.0,6.6,4.1,7.6,2.0,2.5,1.0,6.6,7.6,2.7,1.1,1.8,2.1,1.9,19.2,0.7744018
Brandon Rush,2014,82,0,418,3.8,11.3,2.0,5.9,1.8,5.4,0.4,0.6,0.6,4.9,5.5,3.0,0.6,1.1,2.5,3.9,9.9,0.7744018
Brandon Rush,2015,60,0,271,2.0,9.7,0.5,4.9,1.4,4.9,0.9,2.0,0.7,6.7,7.4,2.2,0.9,2.2,2.0,4.9,5.4,0.7744018
Brandon Rush,2016,57,25,1055,5.1,11.9,3.0,7.2,2.1,4.7,0.8,1.3,1.0,7.3,8.3,2.6,0.9,1.1,1.5,2.6,14.0,0.7744018
Brandon Rush,2017,77,33,1030,3.4,9.2,2.2,5.6,1.3,3.6,0.6,0.9,0.8,4.1,4.9,2.2,1.1,1.1,1.4,2.1,9.7,0.7744018
Brendan Haywood,2002,40,2,1266,4.7,9.5,0.0,0.0,4.7,9.5,4.2,6.9,6.1,7.7,13.8,1.2,0.9,3.9,2.1,6.8,13.5,0.7744018
Brendan Haywood,2003,58,69,1930,4.9,9.6,0.0,0.0,4.9,9.6,4.4,6.9,5.4,6.0,11.4,0.8,0.9,3.4,1.8,6.3,14.1,0.7744018
Brendan Haywood,2004,71,59,1484,7.0,13.6,0.0,0.0,7.0,13.6,4.8,8.2,6.5,7.0,13.6,1.5,1.1,3.5,2.8,5.4,18.8,0.7744018
Brendan Haywood,2005,72,68,1865,6.6,11.8,0.0,0.0,6.6,11.8,4.4,7.2,5.6,7.2,12.8,1.6,1.4,3.1,2.6,6.0,17.6,0.7744018
Brendan Haywood,2006,71,70,1879,6.1,12.0,0.0,0.0,6.1,12.0,3.6,6.2,5.5,7.4,12.9,1.3,0.8,2.9,2.7,6.4,15.9,0.7744018
Brendan Haywood,2007,80,49,1740,5.8,10.4,0.0,0.0,5.8,10.4,3.4,6.2,5.7,8.3,14.0,1.4,1.0,2.6,2.6,6.1,15.0,0.7744018
Brendan Haywood,2008,79,80,2228,7.6,14.4,0.0,0.0,7.6,14.4,5.2,7.1,6.6,7.3,13.9,1.7,0.7,3.2,2.6,5.2,20.4,0.7744018
Brendan Haywood,2010,82,67,2355,6.1,10.9,0.0,0.0,6.1,10.9,3.4,5.4,6.2,9.7,15.9,1.0,0.6,3.5,2.2,4.6,15.6,0.7744018
Brendan Haywood,2011,79,8,1331,5.1,8.8,0.0,0.0,5.1,8.8,2.5,7.0,5.1,9.8,14.9,0.8,0.6,2.9,2.0,5.8,12.6,0.7744018
Brendan Haywood,2012,73,54,1146,5.4,10.4,0.0,0.0,5.4,10.4,2.1,4.4,6.4,8.5,14.8,0.9,1.1,2.5,2.1,5.5,12.9,0.7744018
Brendan Haywood,2013,61,17,1162,4.2,9.8,0.0,0.0,4.2,9.7,1.4,3.0,5.6,7.5,13.1,1.3,0.7,2.2,2.3,5.6,9.8,0.7744018
Brent Barry,1998,75,36,1600,7.0,16.6,2.9,7.5,4.0,9.1,3.8,4.4,0.9,4.6,5.6,5.0,2.1,0.9,3.4,3.9,20.6,0.7744018
Brent Barry,1999,70,30,1181,6.5,16.4,2.4,7.9,4.1,8.5,3.6,4.7,1.8,4.8,6.6,5.3,1.9,0.5,3.3,4.5,19.0,0.7744018
Brent Barry,2000,59,74,2726,6.2,13.3,3.1,7.5,3.1,5.8,2.4,3.0,0.9,6.1,7.0,5.5,1.9,0.6,2.7,4.3,17.8,0.7744018
Brent Barry,2001,81,20,1778,5.8,11.8,3.2,6.8,2.6,5.1,2.5,3.0,1.0,5.2,6.2,6.6,2.4,0.4,2.5,3.7,17.4,0.7744018
Brent Barry,2002,74,81,3040,7.1,14.0,2.9,6.9,4.2,7.1,3.5,4.1,1.0,6.8,7.8,7.6,2.6,0.7,2.9,3.2,20.6,0.7744018
Brent Barry,2003,81,68,2480,5.8,12.7,2.6,6.4,3.2,6.2,2.8,3.5,1.1,5.6,6.6,8.4,2.5,0.3,3.1,4.4,17.0,0.7744018
Brent Barry,2004,75,53,1803,6.4,12.6,3.4,7.5,3.0,5.2,2.7,3.3,0.6,5.4,6.0,10.1,2.5,0.5,4.1,3.6,18.8,0.7744018
Brent Barry,2005,63,8,1742,6.0,14.2,3.1,8.7,2.9,5.5,3.5,4.2,0.9,5.0,5.9,5.5,1.2,0.6,2.0,3.8,18.6,0.7744018
Brent Barry,2006,71,5,1259,6.7,14.9,3.4,8.7,3.3,6.2,1.7,2.5,1.2,5.6,6.8,5.3,1.7,1.2,2.2,4.3,18.6,0.7744018
Brent Barry,2007,64,28,1631,6.6,13.9,4.2,9.4,2.4,4.5,3.4,3.8,0.6,4.7,5.2,4.5,1.8,0.4,2.0,2.9,20.8,0.7744018
Brent Barry,2008,61,1,554,7.5,15.6,4.7,10.9,2.8,4.7,1.9,2.0,1.2,4.2,5.4,5.3,1.7,0.3,1.8,4.2,21.6,0.7744018
Brent Barry,2009,36,1,857,4.3,10.7,3.0,8.1,1.3,2.5,1.2,1.2,1.1,4.8,5.8,4.8,1.5,0.2,3.0,2.8,12.9,0.7744018
Brevin Knight,1998,41,76,2483,5.6,12.7,0.0,0.2,5.6,12.6,4.3,5.4,1.4,4.0,5.4,14.1,4.2,0.4,4.2,5.8,15.6,0.7744018
Brevin Knight,1999,67,38,1186,6.3,14.8,0.0,0.2,6.3,14.5,4.9,6.6,0.7,5.4,6.1,14.1,3.3,0.3,4.9,5.4,17.5,0.7744018
Brevin Knight,2000,50,46,1754,6.6,16.0,0.1,0.3,6.5,15.7,4.0,5.3,1.1,4.4,5.5,13.1,3.1,0.6,4.5,5.3,17.2,0.7744018
Brevin Knight,2001,66,43,1457,5.0,13.3,0.0,0.4,4.9,12.9,1.9,2.4,0.8,5.2,6.0,11.1,3.6,0.1,3.3,5.6,11.9,0.7744018
Brevin Knight,2002,64,11,1151,6.5,15.3,0.1,0.4,6.4,14.9,4.0,5.3,0.5,4.5,5.0,13.8,3.6,0.3,5.1,6.2,17.0,0.7744018
Brevin Knight,2003,67,4,928,5.4,12.7,0.1,0.4,5.3,12.3,1.1,2.1,0.8,3.7,4.5,13.0,3.9,0.1,5.2,6.9,12.1,0.7744018
Brevin Knight,2004,68,13,1037,5.3,12.4,0.1,0.4,5.2,12.0,2.5,3.3,0.7,4.9,5.6,10.3,4.2,0.1,3.6,5.4,13.1,0.7744018
Brevin Knight,2005,69,61,1944,6.6,15.7,0.1,0.5,6.6,15.2,4.5,5.2,0.6,4.0,4.5,15.8,3.5,0.1,3.9,5.1,17.8,0.7744018
Brevin Knight,2006,74,67,2351,6.7,16.9,0.1,0.3,6.7,16.6,5.5,6.9,0.8,4.1,4.9,13.3,3.4,0.1,3.6,4.4,19.0,0.7744018
Brevin Knight,2007,75,25,1273,6.2,14.9,0.0,0.7,6.2,14.1,4.2,5.2,0.6,4.1,4.7,12.1,2.7,0.1,3.9,4.6,16.7,0.7744018
Brevin Knight,2008,60,39,1674,4.3,10.7,0.0,0.2,4.3,10.5,1.9,2.2,0.5,4.0,4.4,10.2,3.1,0.3,2.2,5.0,10.5,0.7744018
Brevin Knight,2009,71,0,938,3.6,10.4,0.0,0.3,3.6,10.1,2.6,3.5,0.7,4.1,4.8,10.4,3.7,0.2,3.6,5.4,9.9,0.7744018
Brian Cardinal,2004,75,11,1634,7.2,15.2,1.8,4.1,5.4,11.2,7.8,8.9,3.3,7.1,10.4,3.4,2.2,0.7,2.7,6.7,24.0,0.7744018
Brian Cardinal,2005,79,16,1433,6.1,16.4,1.7,4.7,4.4,11.6,6.0,6.9,2.4,6.1,8.5,4.3,3.3,0.7,3.1,6.5,19.8,0.7744018
Brian Cardinal,2006,70,0,402,6.4,15.4,1.8,4.0,4.6,11.3,2.6,3.7,1.5,6.1,7.6,4.6,3.2,0.0,3.7,9.0,17.2,0.7744018
Brian Cardinal,2008,82,1,440,4.9,14.4,2.9,9.3,2.1,5.2,1.5,2.2,3.0,8.0,11.0,2.5,1.1,0.2,2.6,7.1,14.2,0.7744018
Brian Cardinal,2009,59,4,909,3.7,9.7,1.7,5.3,2.0,4.4,1.7,2.0,2.2,5.9,8.2,4.4,2.1,0.7,2.8,7.8,11.0,0.7744018
Brian Cardinal,2011,68,4,618,3.7,8.5,3.6,7.4,0.1,1.1,1.4,1.5,0.9,4.2,5.0,3.4,2.0,0.6,1.4,7.0,12.3,0.7744018
Brian Cardinal,2012,58,0,277,2.7,10.4,1.9,9.3,0.8,1.1,0.9,1.1,0.8,5.7,6.4,3.0,1.5,0.4,1.5,7.2,8.1,0.7744018
Brian Cook,2004,54,2,442,7.9,16.6,0.0,0.6,7.9,16.0,2.5,3.3,3.6,8.2,11.9,2.4,1.9,1.9,2.0,7.5,18.2,0.7744018
