player_name,season,age,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct
Aaron Williams,2004,32.0,72,6.3,4.1,1.1,-2.7,0.088,0.171,0.175,0.5489999999999999,0.109
Aaron Williams,2005,33.0,42,1.7,1.4,0.2,-21.3,0.062,0.171,0.132,0.518,0.049
Aaron Williams,2006,34.0,48,4.6,3.8,0.4,-3.2,0.096,0.182,0.138,0.551,0.036
Aaron Williams,2007,35.0,38,2.0,2.2,0.2,-2.4,0.09,0.187,0.1009999999999999,0.606,0.03
Aaron Williams,2008,36.0,30,2.3,2.0,0.3,-15.9,0.06,0.186,0.118,0.54,0.052
Abdel Nader,2018,24.0,48,3.0,1.5,0.5,-10.3,0.024,0.111,0.162,0.439,0.078
Abdel Nader,2019,25.0,61,4.0,1.9,0.3,-9.5,0.017,0.139,0.148,0.522,0.044
Abdel Nader,2020,26.0,55,6.3,1.8,0.7,-4.2,0.016,0.095,0.1639999999999999,0.591,0.068
Abdel Nader,2021,27.0,24,6.7,2.6,0.8,5.0,0.02,0.151,0.183,0.605,0.078
Abdel Nader,2022,28.0,14,2.4,1.9,0.5,-0.9,0.026,0.145,0.139,0.431,0.065
Acie Earl,1997,27.0,47,4.0,2.0,0.4,-6.4,0.079,0.14,0.2239999999999999,0.435,0.077
Acie Law,2008,23.0,56,4.2,1.0,2.0,-7.2,0.016,0.062,0.1639999999999999,0.455,0.218
Acie Law,2009,24.0,55,2.9,1.1,1.6,1.2,0.013,0.1,0.1639999999999999,0.49,0.257
Acie Law,2010,25.0,26,4.3,0.7,1.0,7.0,0.015,0.068,0.22,0.585,0.17
Acie Law,2011,26.0,51,4.2,1.2,1.6,-8.2,0.019,0.0819999999999999,0.16,0.502,0.182
Adam Harrington,2003,22.0,19,1.6,0.4,0.6,-15.7,0.01,0.088,0.1669999999999999,0.387,0.179
Adam Keefe,1997,27.0,62,3.8,3.5,0.5,6.7,0.11,0.177,0.126,0.5720000000000001,0.051
Adam Keefe,1998,28.0,80,7.8,5.5,1.1,9.7,0.119,0.147,0.131,0.605,0.063
Adam Keefe,1999,29.0,44,4.0,3.2,0.6,4.2,0.103,0.16,0.142,0.5329999999999999,0.074
Adam Keefe,2000,30.0,62,2.2,2.2,0.5,-3.3,0.0969999999999999,0.187,0.149,0.4629999999999999,0.093
Adam Keefe,2001,31.0,67,2.5,3.1,0.5,-9.2,0.105,0.175,0.1159999999999999,0.45,0.066
Adam Mokoka,2020,21.0,11,2.9,0.9,0.4,17.1,0.057,0.0289999999999999,0.11,0.5379999999999999,0.043
Adam Mokoka,2021,22.0,14,1.1,0.4,0.4,-7.1,0.017,0.077,0.171,0.386,0.179
Adam Morrison,2007,22.0,78,11.8,2.9,2.1,-7.0,0.026,0.092,0.22,0.45,0.121
Adam Morrison,2009,24.0,52,4.0,1.5,0.8,-7.4,0.032,0.11,0.177,0.4479999999999999,0.1009999999999999
Adam Morrison,2010,25.0,31,2.4,1.0,0.6,-9.1,0.044,0.1009999999999999,0.183,0.418,0.121
