PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,player_name
1630618,2024-25,00,1610612761,TOR,24.0,1,0,16.0,0,3,0.0,0,2,0.0,0,0,0.0,0,2,2,3,2,0,1,1,0,DJ Carton
1627936,2024-25,00,1610612760,OKC,30.0,1,0,19.0,0,2,0.0,0,1,0.0,0,0,0.0,2,4,6,4,0,0,1,2,0,Alex Caruso
1630577,2024-25,00,1610612759,SAS,23.0,1,1,27.0,7,12,0.583,4,8,0.5,0,0,0.0,2,5,7,3,1,2,3,1,18,Julian Champagnie
1630551,2024-25,00,1610612764,WAS,23.0,1,0,4.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,2,1,0,0,0,3,0,Justin Champagnie
1631108,2024-25,00,1610612747,LAL,21.0,2,0,23.0,1,4,0.25,1,4,0.25,2,2,1.0,1,4,5,0,0,0,1,5,5,Max Christie
1629634,2024-25,00,1610612763,MEM,28.0,2,0,26.0,2,10,0.2,0,3,0.0,1,2,0.5,2,4,6,1,0,0,2,2,5,Brandon Clarke
203903,2024-25,00,1610612762,UTA,32.0,2,0,49.0,11,26,0.423,2,9,0.222,4,7,0.571,2,4,6,9,0,1,4,3,28,Jordan Clarkson
1629651,2024-25,00,1610612751,BKN,25.0,2,0,36.0,4,8,0.5,0,0,0.0,3,6,0.5,1,9,10,3,2,2,1,4,11,Nic Claxton
1641730,2024-25,00,1610612751,BKN,20.0,2,0,30.0,5,14,0.357,2,7,0.286,2,2,1.0,4,4,8,0,2,1,2,4,14,Noah Clowney
1629599,2024-25,00,1610612746,LAC,27.0,1,0,26.0,4,4,1.0,2,2,1.0,1,2,0.5,0,3,3,1,1,0,0,2,11,Amir Coffey
1628381,2024-25,00,1610612762,UTA,27.0,2,0,42.0,9,22,0.409,1,6,0.167,6,6,1.0,3,9,12,4,2,2,5,7,25,John Collins
1628380,2024-25,00,1610612759,SAS,26.0,1,0,14.0,2,3,0.667,1,1,1.0,0,0,0.0,2,3,5,1,1,0,1,3,5,Zach Collins
201144,2024-25,00,1610612750,MIN,37.0,2,2,48.0,3,16,0.188,2,12,0.167,3,3,1.0,3,3,6,6,1,1,3,3,11,Mike Conley
1626192,2024-25,00,1610612749,MIL,31.0,2,0,37.0,5,15,0.333,2,10,0.2,0,0,0.0,3,6,9,2,0,1,2,2,12,Pat Connaughton
1641731,2024-25,00,1610612764,WAS,20.0,1,1,30.0,1,2,0.5,0,0,0.0,6,8,0.75,1,5,6,6,1,0,3,0,8,Bilal Coulibaly
1641741,2024-25,00,1610612755,PHI,23.0,2,0,13.0,1,4,0.25,1,2,0.5,4,4,1.0,0,1,1,0,0,0,1,1,7,Ricky Council IV
1630595,2024-25,00,1610612765,DET,23.0,2,2,71.0,24,47,0.511,4,12,0.333,9,9,1.0,2,7,9,14,1,0,11,6,61,Cade Cunningham
203552,2024-25,00,1610612766,CHA,34.0,2,1,54.0,5,14,0.357,5,10,0.5,1,3,0.333,3,4,7,3,3,1,1,6,16,Seth Curry
201939,2024-25,00,1610612744,GSW,36.0,2,2,52.0,11,30,0.367,7,20,0.35,8,8,1.0,0,12,12,14,4,0,5,3,37,Stephen Curry
1630700,2024-25,00,1610612737,ATL,21.0,2,2,59.0,14,22,0.636,4,8,0.5,1,4,0.25,3,3,6,6,7,3,2,9,33,Dyson Daniels
203076,2024-25,00,1610612747,LAL,31.0,2,2,75.0,22,41,0.537,1,3,0.333,26,32,0.813,4,20,24,8,2,5,2,3,71,Anthony Davis
1631098,2024-25,00,1610612764,WAS,22.0,1,0,4.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,Johnny Davis
1631120,2024-25,00,1610612738,BOS,22.0,1,0,8.0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,3,1,0,JD Davison
201942,2024-25,00,1610612758,SAC,35.0,1,1,43.0,7,18,0.389,0,2,0.0,12,14,0.857,1,7,8,2,1,0,2,0,26,DeMar DeRozan
1628978,2024-25,00,1610612750,MIN,27.0,2,0,58.0,7,21,0.333,3,14,0.214,2,4,0.5,2,2,4,5,2,0,3,5,19,Donte DiVincenzo
1631217,2024-25,00,1610612766,CHA,22.0,2,0,25.0,2,6,0.333,0,0,0.0,0,2,0.0,3,6,9,0,1,2,0,1,4,Moussa Diabate
1641711,2024-25,00,1610612761,TOR,20.0,2,2,53.0,8,22,0.364,3,10,0.3,5,5,1.0,1,2,3,1,1,2,2,6,24,Gradey Dick
203915,2024-25,00,1610612742,DAL,31.0,1,0,3.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,Spencer Dinwiddie
1629029,2024-25,00,1610612742,DAL,25.0,1,1,36.0,9,25,0.36,4,11,0.364,6,8,0.75,1,9,10,8,1,1,4,3,28,Luka Doncic
1629652,2024-25,00,1610612760,OKC,25.0,1,1,29.0,2,7,0.286,0,2,0.0,1,1,1.0,1,1,2,0,3,1,0,3,5,Luguentz Dort
1630245,2024-25,00,1610612741,CHI,24.0,2,0,53.0,5,14,0.357,0,7,0.0,0,0,0.0,0,9,9,8,0,1,3,3,10,Ayo Dosunmu
1630288,2024-25,00,1610612755,PHI,27.0,1,0,3.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,Jeff Dowtin Jr.
203083,2024-25,00,1610612755,PHI,31.0,2,2,47.0,8,19,0.421,0,1,0.0,5,10,0.5,11,11,22,0,4,2,3,10,21,Andre Drummond
1630537,2024-25,00,1610612741,CHI,27.0,1,0,2.0,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,0,3,Chris Duarte
1627739,2024-25,00,1610612746,LAC,30.0,1,0,20.0,2,4,0.5,1,2,0.5,0,0,0.0,2,2,4,2,2,0,1,1,5,Kris Dunn
201142,2024-25,00,1610612756,PHX,36.0,2,2,82.0,19,34,0.559,4,8,0.5,13,16,0.813,0,11,11,6,3,2,10,7,55,Kevin Durant
1631105,2024-25,00,1610612765,DET,20.0,2,2,59.0,6,8,0.75,0,0,0.0,6,10,0.6,7,13,20,9,1,1,3,8,18,Jalen Duren
1631106,2024-25,00,1610612745,HOU,23.0,2,0,29.0,6,10,0.6,3,5,0.6,0,0,0.0,3,4,7,2,4,1,0,3,15,Tari Eason
1630162,2024-25,00,1610612750,MIN,23.0,2,2,80.0,20,49,0.408,10,28,0.357,9,10,0.9,1,12,13,7,1,0,7,7,59,Anthony Edwards
1631165,2024-25,00,1610612758,SAC,24.0,1,0,11.0,0,1,0.0,0,0,0.0,2,2,1.0,0,1,1,0,2,0,0,1,2,Keon Ellis
1629234,2024-25,00,1610612762,UTA,27.0,1,0,6.0,1,1,1.0,1,1,1.0,1,2,0.5,2,0,2,2,0,0,0,0,4,Drew Eubanks
1628981,2024-25,00,1610612761,TOR,26.0,2,0,23.0,3,8,0.375,0,0,0.0,2,2,1.0,6,7,13,1,0,1,4,6,8,Bruno Fernando
1627827,2024-25,00,1610612751,BKN,31.0,2,2,56.0,9,20,0.45,5,13,0.385,0,0,0.0,6,8,14,1,2,2,2,6,23,Dorian Finney-Smith
1641745,2024-25,00,1610612760,OKC,24.0,1,0,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,Adam Flagler
1631323,2024-25,00,1610612765,DET,28.0,2,0,35.0,1,8,0.125,1,6,0.167,2,2,1.0,1,2,3,0,0,0,2,3,5,Simone Fontecchio
1628368,2024-25,00,1610612758,SAC,26.0,1,1,37.0,6,14,0.429,1,4,0.25,2,2,1.0,0,2,2,11,1,0,2,3,15,De'Aaron Fox
1629655,2024-25,00,1610612742,DAL,26.0,1,1,19.0,3,6,0.5,0,0,0.0,3,4,0.75,4,2,6,2,1,1,1,5,9,Daniel Gafford
1629636,2024-25,00,1610612739,CLE,24.0,2,2,56.0,8,23,0.348,4,13,0.308,0,0,0.0,0,3,3,12,1,0,5,6,20,Darius Garland
1641718,2024-25,00,1610612762,UTA,20.0,2,2,61.0,7,30,0.233,4,14,0.286,6,10,0.6,1,3,4,10,2,0,6,2,24,Keyonte George
1630581,2024-25,00,1610612741,CHI,22.0,2,2,55.0,11,21,0.524,2,3,0.667,7,11,0.636,1,10,11,12,0,0,4,1,31,Josh Giddey
1628983,2024-25,00,1610612760,OKC,26.0,1,1,36.0,11,24,0.458,2,6,0.333,4,5,0.8,2,5,7,8,2,3,2,2,28,Shai Gilgeous-Alexander
1630264,2024-25,00,1610612764,WAS,32.0,1,0,3.0,1,2,0.5,0,0,0.0,0,0,0.0,0,0,0,1,1,0,1,0,2,Anthony Gill
203497,2024-25,00,1610612750,MIN,32.0,2,2,70.0,6,10,0.6,0,0,0.0,4,6,0.667,4,21,25,3,2,1,4,8,16,Rudy Gobert
203932,2024-25,00,1610612743,DEN,29.0,1,1,33.0,5,12,0.417,0,1,0.0,2,2,1.0,5,4,9,2,1,0,2,1,12,Aaron Gordon
201569,2024-25,00,1610612755,PHI,35.0,2,1,43.0,2,10,0.2,1,4,0.25,5,7,0.714,0,2,2,3,0,0,0,2,10,Eric Gordon
203924,2024-25,00,1610612757,POR,30.0,2,2,73.0,17,41,0.415,10,25,0.4,6,6,1.0,0,8,8,4,2,4,5,5,50,Jerami Grant
1631260,2024-25,00,1610612749,MIL,25.0,2,0,15.0,3,4,0.75,3,4,0.75,0,0,0.0,0,1,1,2,1,0,0,1,9,AJ Green
203110,2024-25,00,1610612744,GSW,34.0,2,2,40.0,4,7,0.571,2,3,0.667,1,2,0.5,0,8,8,7,4,2,5,6,11,Draymond Green
1630224,2024-25,00,1610612745,HOU,22.0,2,2,67.0,17,44,0.386,9,23,0.391,7,11,0.636,2,6,8,4,3,1,2,3,50,Jalen Green
1629750,2024-25,00,1610612740,NOP,31.0,2,0,45.0,4,6,0.667,0,1,0.0,4,5,0.8,1,4,5,1,4,0,2,2,12,Javonte Green
1630182,2024-25,00,1610612766,CHA,23.0,1,0,18.0,2,5,0.4,1,3,0.333,0,0,0.0,1,2,3,2,1,1,0,4,5,Josh Green
1629656,2024-25,00,1610612742,DAL,24.0,1,0,15.0,1,6,0.167,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,2,Quentin Grimes
1629060,2024-25,00,1610612747,LAL,26.0,2,2,74.0,12,26,0.462,3,8,0.375,5,8,0.625,5,7,12,3,2,1,1,3,32,Rui Hachimura
1630169,2024-25,00,1610612754,IND,24.0,2,2,61.0,6,26,0.231,1,16,0.063,2,2,1.0,1,5,6,9,4,2,4,4,15,Tyrese Haliburton
203501,2024-25,00,1610612765,DET,32.0,2,2,52.0,7,15,0.467,7,12,0.583,2,2,1.0,0,4,4,2,1,0,1,3,23,Tim Hardaway Jr.
201935,2024-25,00,1610612746,LAC,35.0,1,1,40.0,10,28,0.357,2,9,0.222,7,9,0.778,3,9,12,8,1,0,8,3,29,James Harden
1630702,2024-25,00,1610612742,DAL,22.0,1,0,20.0,3,6,0.5,3,5,0.6,2,2,1.0,1,0,1,2,0,1,2,3,11,Jaden Hardy
203914,2024-25,00,1610612753,ORL,30.0,2,0,38.0,8,14,0.571,8,14,0.571,0,0,0.0,1,3,4,1,0,3,1,1,24,Gary Harris
